company,acq_date,signal_date,book_value_mm,deal_price_mm,price_to_book,T10Y2Y,UMCSENT,DSPI_yoy,CPROFIT_yoy,COMPUTSA_yoy
Southern Community Bank and Trust,2012-10-11,2012-10-05,138.691,46.9,0.3381618129510927,1.48,78.3,2.822962389190109,-0.8102807597027195,10.593900481540942
Marathon National Bank of New York,2012-10-15,2012-06-19,112.078,135.0,1.204518281910812,1.34,79.3,1.0779691130244462,17.53323138454299,9.926470588235304
Beacon Federal,2012-10-19,2012-06-01,104.511,132.0,1.2630249447426587,1.22,79.3,1.0779691130244462,17.53323138454299,17.509025270758126
PremierWest Bank,2013-04-09,2012-10-30,112.115,41.4,0.3692637024483789,1.44,82.6,3.301529346927534,-0.8102807597027195,5.56414219474497
Liberty Bank of Arkansas,2013-10-25,2013-10-24,365.08,290.1,0.7946203571819876,2.2,77.5,4.819619988281576,8.611270097299538,12.591508052708633
Bank of Nevada,2013-12-31,2012-08-22,378.16,55.0,0.14544108313941187,1.45,72.3,2.901776087087793,1.2630569175015927,5.031446540880502
"MetroBank, National Association",2014-01-18,2013-09-18,137.757,273.0,1.9817504736601406,2.35,82.1,4.048451005634224,9.861292855273485,15.119760479041911
Summit Bank,2014-05-17,2013-05-16,132.079,40.6,0.3073917882479425,1.64,76.4,1.9306387646611967,1.3136041069002014,5.837173579109067
Western National Bank,2014-06-21,2013-02-27,110.317,490.0,4.441745152605673,1.64,73.8,6.686820453803755,-0.12689711182173324,36.60377358490565
BankFIRST,2014-10-01,2014-10-01,138.686,77.0,0.5552110523052074,1.89,84.6,4.700226786341721,0.9006419469195892,15.994798439531866
Intervest National Bank,2015-02-11,2014-07-31,257.558,228.5,0.8871788102097392,2.05,82.5,6.2773385273096505,-3.8849846580223724,4.503311258278142
Liberty Bank,2015-04-25,2013-10-24,131.127,290.1,2.2123590107300557,2.2,77.5,4.819619988281576,8.611270097299538,12.591508052708633
"Bridge Bank, National Association",2015-06-30,2015-03-09,181.904,425.0,2.3363972205119183,1.5,95.4,4.678976577486926,2.0737327188939947,14.250614250614246
Square 1 Bank,2015-10-07,2015-04-17,294.093,9.0,0.03060256449490467,1.36,93.0,4.829138530795984,-1.536550581957019,-5.619266055045868
Nevada State Bank,2015-12-31,2015-02-19,382.182,57.0,0.14914360173948538,1.44,98.1,4.5496338099616285,2.0737327188939947,14.250614250614246
Cape Bank,2016-05-02,2014-09-11,161.064,55.0,0.3414791635623107,1.96,82.5,4.934562019458677,-0.09052360760398726,8.656330749354012
Home Federal Bank,2016-05-16,2015-02-19,127.381,57.0,0.447476468233096,1.44,98.1,4.5496338099616285,2.0737327188939947,14.250614250614246
Avenue Bank,2016-07-01,2016-01-29,114.226,201.4,1.763171256981773,1.18,92.0,3.610547358979632,-5.565025107108291,9.277238403452003
C1 Bank,2016-07-22,2015-11-09,190.87,402.5,2.1087651280976583,1.47,90.0,2.6115226776102007,-1.101509828126479,2.902902902902893
Wilshire Bank,2016-07-29,2015-12-07,576.78,1000.0,1.7337633066333784,1.29,91.3,3.7576377075816403,-4.172093023255807,9.53461975028378
American Chartered Bank,2016-08-24,2015-11-23,234.151,449.0,1.9175660150928246,1.31,90.0,2.6115226776102007,-1.101509828126479,9.53461975028378
Talmer Bank and Trust,2016-11-11,2016-01-26,750.712,1100.0,1.4652756316670041,1.16,92.6,3.610547358979632,-5.565025107108291,9.277238403452003
Heritage Oaks Bank,2017-04-01,2016-12-13,214.875,405.6,1.88760907504363,1.31,93.8,4.774332997595931,4.586710673202932,9.326424870466333
Citywide Banks,2017-07-07,2017-02-14,139.22,203.0,1.4581238327826462,1.22,98.5,4.590461682681046,4.336796916922792,10.858835143139189
Clayton Bank and Trust,2017-07-31,2017-02-08,157.138,284.2,1.8086013567692092,1.19,98.5,4.590461682681046,4.336796916922792,10.858835143139189
Centrue Bank,2017-09-02,2017-01-26,127.786,175.1,1.3702596528571205,1.3,98.2,4.359213258112082,4.336796916922792,10.858835143139189
Scottrade Bank,2017-09-18,2016-10-24,1247.424,4000.0,3.2066081781334974,0.93,91.2,4.605380499405465,-2.9764762361977892,-7.490272373540852
Sunshine Bank,2018-01-01,2016-05-10,122.397,40.0,0.32680539555708066,1.05,89.0,3.0178563383242984,-11.680605522590303,28.918590522478738
Southwest Bank,2018-02-20,2017-01-23,538.66,462.0,0.8576838822262652,1.25,98.2,4.359213258112082,4.336796916922792,10.858835143139189
MainSource Bank,2018-04-01,2016-05-23,579.065,102.5,0.17700948943555558,0.93,89.0,3.0178563383242984,-11.680605522590303,-5.375253549695735
Bear State Bank,2018-04-21,2017-08-25,262.752,391.0,1.4880952380952381,0.82,93.4,3.039236783587973,3.7128104253749683,14.522417153996091
Bank SNB,2018-05-29,2016-12-14,508.203,564.4,1.1105798273524556,1.27,93.8,4.774332997595931,4.586710673202932,9.326424870466333
Grandpoint Bank,2018-07-01,2018-02-12,348.365,641.2,1.840598223128041,0.77,95.7,2.1552810688177493,3.4999064896203302,4.808548530721279
"Florida Community Bank, National Association",2019-01-01,2018-03-01,1279.242,4.0,0.003126851682480719,0.59,95.7,2.6865754876127523,3.4999064896203302,11.365807067812806
State Bank and Trust Company,2019-01-01,2017-10-02,628.27,197.6,0.3145144603434829,0.85,95.1,2.427587970758105,5.066798614547263,3.0680728667305868
Lubbock National Bank,2019-03-04,2017-12-13,105.672,185.6,1.7563782269664623,0.57,98.5,1.8384287749187767,2.795526266938908,16.777251184834128
Old Line Bank,2019-11-22,2018-04-17,403.436,142.2,0.35247226325860853,0.41,99.7,2.72527808251517,2.908744186046519,9.245960502692995
Opus Bank,2020-06-01,2020-02-03,1099.147,1000.0,0.9097964148562476,0.18,99.8,6.12089336077446,-10.452087935386956,16.196542311191987
Seacoast Commerce Bank,2020-11-13,2020-08-20,132.373,156.0,1.1784880602539793,0.52,72.5,7.802728736819731,1.4034832455014357,2.400000000000002
AIMBank,2020-12-04,2020-02-11,197.386,280.4,1.420566808182951,0.18,99.8,6.12089336077446,-10.452087935386956,16.196542311191987
First Choice Bank,2021-07-21,2021-04-26,281.844,397.7,1.4110642766920707,1.4,84.9,4.891478479630718,7.6629679371488235,28.769356153219228
"Premier Bank, Inc.",2021-09-18,2021-03-30,179.286,292.3,1.630355967560211,1.57,84.9,4.891478479630718,7.6629679371488235,3.49544072948329
Merchants Bank of Commerce,2021-10-01,2021-06-25,194.772,266.0,1.3656993818413325,1.26,85.5,-1.2920547475375521,25.761555479307987,22.690582959641258
BBVA USA,2021-10-08,2021-07-14,10659.689,11500.0,1.0788307238607056,1.14,85.5,3.5508081517919843,25.761555479307987,22.690582959641258
Century Bank and Trust Company,2021-11-12,2021-11-12,389.724,642.0,1.6473196415925118,1.05,71.7,1.6629522661633311,54.37998353902253,-12.24345364472753
East Boston Savings Bank,2021-11-12,2021-04-22,741.343,1150.0,1.5512387653218551,1.41,84.9,4.891478479630718,7.6629679371488235,28.769356153219228
Valley Republic Bank,2022-03-25,2021-07-28,145.608,165.6,1.1373001483434975,1.06,85.5,3.5508081517919843,25.761555479307987,8.081632653061233
Happy State Bank,2022-04-01,2022-04-01,663.359,958.8,1.445371209254717,-0.05,59.4,3.861252842483953,27.99180577954059,-3.8913362701908927
Guaranty Bank,2022-04-02,2022-04-01,123.442,144.1,1.1673498485118516,-0.05,59.4,3.861252842483953,27.99180577954059,-3.8913362701908927
Charter Bank,2022-08-26,2022-03-30,139.044,158.0,1.136330945599954,0.04,59.4,3.383263001889314,27.99180577954059,-3.8913362701908927
Standard Bank,2022-09-06,2020-09-25,160.868,158.0,0.9821717184275307,0.54,74.1,8.383237162391488,-14.411603768583515,-4.714064914992278
"BTH Bank, National Association",2022-10-08,2022-02-24,251.68,313.5,1.2456293706293706,0.42,67.2,5.203995708996123,25.38291203192118,-6.736526946107779
Heritage Southeast Bank,2023-01-01,2022-07-27,149.909,207.0,1.3808377082096472,-0.18,50.0,0.3371500236168057,22.269878644247854,3.09667673716012
Professional Bank,2023-01-31,2022-08-11,257.584,488.6,1.8968569476364991,-0.36,51.5,3.613954576339129,12.591655130570857,3.09667673716012
"MUFG Union Bank, National Association",2023-05-26,2021-09-21,15155.733,8000.0,0.5278530573216089,1.11,70.3,0.9316891759639789,54.07167835165121,7.866991078669905
Malvern Bank N.A.,2023-07-17,2023-07-17,165.832,129.7,0.7821168411404312,-0.93,64.4,7.424842542692045,-1.9011187126154572,3.6177474402730336
Salisbury Bank and Trust Company,2023-08-12,2022-12-05,146.772,204.0,1.389910882184613,-0.81,56.8,3.9219584389478923,0.9887306806445784,7.809983896940409
"Banc of California, National Association",2023-12-01,2022-09-16,1191.951,24.0,0.020135055887364497,-0.4,58.2,3.3045029670713433,9.404945826501221,2.372393961179009
California Bank of Commerce,2024-07-31,2024-01-30,246.175,233.6,0.9489184523205036,-0.3,69.7,8.426359570332043,9.358242691576034,11.552090715804386
The State Bank,2025-03-15,2023-09-13,166.62,285.0,1.7104789341015483,-0.71,69.5,7.107726139075865,-7.887763039995432,-7.2331460674157295
The First Bank,2025-04-01,2023-07-17,1114.542,129.7,0.11637067064318796,-0.93,64.4,7.424842542692045,-1.9011187126154572,3.6177474402730336
"Sterling Bank and Trust, FSB",2025-04-01,2025-03-17,323.474,261.0,0.8068654667763097,0.25,64.7,7.518625917983024,15.895327401345538,16.596045197740118
Territorial Savings Bank,2025-04-02,2024-04-29,233.025,78.6,0.3373028644995172,-0.34,77.2,5.245361408332538,16.14808177339433,-4.73411154345007
Bank of Idaho,2025-04-30,2025-01-13,146.561,245.4,1.6743881387272193,0.39,74.0,7.238766674467567,15.895327401345538,10.64270905321354
The First National Bank of Long Island,2025-06-01,2024-09-05,377.412,284.0,0.7524932964505634,-0.02,67.9,5.043140357641818,21.986924854601874,15.745647236941718
"BankFinancial, National Association",2026-01-01,2025-12-15,167.019,142.0,0.8502026715523383,0.67,51.0,5.624086257309946,3.2196540871417323,-0.371747211895912
The First National Bank and Trust Company,2026-01-01,2025-07-18,125.068,174.3,1.3936418588287973,0.56,60.7,7.306839469358106,16.31248789771236,-23.15789473684211
"Keystone Bank, SSB",2026-02-01,2025-10-22,103.749,123.0,1.185553595697308,0.52,55.1,5.744598800855738,2.94500507303308,-4.285714285714281
First Citizens National Bank,2026-02-01,2025-10-23,231.22,900.0,3.8923968514834355,0.53,55.1,5.744598800855738,2.94500507303308,-4.285714285714281
Mountain Commerce Bank,2026-04-01,2026-04-01,153.968,146.0,0.9482489868024525,0.52,56.6,5.266249635658404,2.452155796757838,-4.082914572864327
United Security Bank,2026-04-03,2025-12-17,142.754,191.9,1.3442705633467364,0.67,51.0,5.624086257309946,3.2196540871417323,-0.371747211895912
